GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-lot-app,dev.victormoraes.adapters.mappers,UserMapper,94,43,8,2,14,7,8,3,0,3
parking-lot-app,dev.victormoraes.adapters.mappers,VehicleMapper,0,58,0,0,0,17,0,4,0,4
parking-lot-app,dev.victormoraes.adapters.mappers,TicketMapper,0,77,0,0,0,18,0,4,0,4
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,UserEntity.AdminEntity,6,0,0,0,2,0,1,0,1,0
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,SpotEntity,24,3,0,0,10,1,7,1,7,1
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,UserEntity.CustomerEntity,6,0,0,0,2,0,1,0,1,0
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,VehicleEntity,15,24,0,0,6,11,2,7,2,7
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,UserEntity,45,23,0,0,18,6,8,3,8,3
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,TicketEntity,11,40,0,0,5,15,3,8,3,8
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,VehicleEntity.TruckEntity,3,0,0,0,1,0,1,0,1,0
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,UserEntity.OperatorEntity,6,0,0,0,2,0,1,0,1,0
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,VehicleEntity.CarEntity,0,3,0,0,0,1,0,1,0,1
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,UserEntity.AnonymousEntity,0,4,0,0,0,2,0,1,0,1
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,VehicleEntity.MotorcycleEntity,3,0,0,0,1,0,1,0,1,0
parking-lot-app,dev.victormoraes.adapters.out.persistence.entities,VehicleEntity.VanEntity,3,0,0,0,1,0,1,0,1,0
parking-lot-app,dev.victormoraes.domain.result,Result,0,23,0,0,0,10,0,6,0,6
parking-lot-app,dev.victormoraes,ParkingLotApp,5,3,0,0,2,1,1,1,1,1
parking-lot-app,dev.victormoraes.domain.vehicle,Van,0,3,0,0,0,1,0,1,0,1
parking-lot-app,dev.victormoraes.domain.vehicle,Truck,0,3,0,0,0,1,0,1,0,1
parking-lot-app,dev.victormoraes.domain.vehicle,VehicleType,0,27,0,0,0,5,0,1,0,1
parking-lot-app,dev.victormoraes.domain.vehicle,VehicleFactory,35,63,4,2,7,10,5,3,2,3
parking-lot-app,dev.victormoraes.domain.vehicle,Car,0,3,0,0,0,1,0,1,0,1
parking-lot-app,dev.victormoraes.domain.vehicle,Motorcycle,0,3,0,0,0,1,0,1,0,1
parking-lot-app,dev.victormoraes.domain.vehicle,Vehicle,0,24,0,0,0,10,0,7,0,7
parking-lot-app,dev.victormoraes.adapters.out.persistence.adapters,CreateTicketAdapter,28,62,2,2,2,15,2,2,0,2
parking-lot-app,dev.victormoraes.adapters.out.persistence.adapters,GetUserAdapter,14,9,0,0,2,4,1,1,1,1
parking-lot-app,dev.victormoraes.adapters.out.persistence.adapters,GetVehicleAdapter,2,31,1,1,1,8,1,2,0,2
parking-lot-app,dev.victormoraes.adapters.out.persistence.adapters,CreateUserAdapter,0,25,0,0,0,7,0,2,0,2
parking-lot-app,dev.victormoraes.adapters.out.persistence.adapters,CreateVehicleAdapter,20,9,0,0,3,4,1,1,1,1
parking-lot-app,dev.victormoraes.adapters.out.persistence.adapters,SpotAvailabilityInMemoryAdapter,0,16,0,2,0,4,0,3,0,2
parking-lot-app,dev.victormoraes.usecases,ExitingParkingLotUseCase,4,3,0,0,2,1,1,1,1,1
parking-lot-app,dev.victormoraes.usecases,CreatingATicketUseCase,19,108,1,3,2,25,2,6,1,5
parking-lot-app,dev.victormoraes.domain.users,UserType,27,0,0,0,5,0,1,0,1,0
parking-lot-app,dev.victormoraes.domain.users,Operator,7,0,0,0,2,0,1,0,1,0
parking-lot-app,dev.victormoraes.domain.users,Anonymous,0,12,0,0,0,6,0,2,0,2
parking-lot-app,dev.victormoraes.domain.users,User,32,20,0,0,13,10,6,5,6,5
parking-lot-app,dev.victormoraes.domain.users,Customer,7,7,0,0,2,4,1,2,1,2
parking-lot-app,dev.victormoraes.domain.users,Admin,7,0,0,0,2,0,1,0,1,0
parking-lot-app,dev.victormoraes.adapters.in.dtos,TicketRequestDTO,0,9,0,0,0,1,0,1,0,1
parking-lot-app,dev.victormoraes.adapters.in.dtos,ResponseWrapper,0,35,0,0,0,10,0,6,0,6
parking-lot-app,dev.victormoraes.adapters.in.dtos,VehicleDTO,0,31,0,0,0,13,0,9,0,9
parking-lot-app,dev.victormoraes.adapters.in.dtos,TicketResponseDTO,0,31,0,0,0,13,0,9,0,9
parking-lot-app,dev.victormoraes.domain,Ticket,20,84,5,1,3,22,4,14,1,14
parking-lot-app,dev.victormoraes.domain,Spot,22,0,0,0,9,0,5,0,5,0
parking-lot-app,dev.victormoraes.adapters.in,TicketController,0,86,0,2,0,18,0,3,0,2
